datetime|eventid|iyear|imonth|iday|approxdate|extended|resolution|country|country_txt|region|region_txt|provstate|city|latitude|longitude|specificity|vicinity|location|summary|crit1|crit2|crit3|doubtterr|alternative|alternative_txt|multiple|success|suicide|attacktype1|attacktype1_txt|attacktype2|attacktype2_txt|attacktype3|attacktype3_txt|targtype1|targtype1_txt|targsubtype1|targsubtype1_txt|corp1|target1|natlty1|natlty1_txt|targtype2|targtype2_txt|targsubtype2|targsubtype2_txt|corp2|target2|natlty2|natlty2_txt|targtype3|targtype3_txt|targsubtype3|targsubtype3_txt|corp3|target3|natlty3|natlty3_txt|gname|gsubname|gname2|gsubname2|gname3|gsubname3|motive|guncertain1|guncertain2|guncertain3|nperps|nperpcap|claimed|claimmode|claimmode_txt|claim2|claimmode2|claimmode2_txt|claim3|claimmode3|claimmode3_txt|compclaim|weaptype1|weaptype1_txt|weapsubtype1|weapsubtype1_txt|weaptype2|weaptype2_txt|weapsubtype2|weapsubtype2_txt|weaptype3|weaptype3_txt|weapsubtype3|weapsubtype3_txt|weaptype4|weaptype4_txt|weapsubtype4|weapsubtype4_txt|weapdetail|nkill|nkillus|nkillter|nwound|nwoundus|nwoundte|property|propextent|propextent_txt|propvalue|propcomment|ishostkid|nhostkid|nhostkidus|nhours|ndays|divert|kidhijcountry|ransom|ransomamt|ransomamtus|ransompaid|ransompaidus|ransomnote|hostkidoutcome|hostkidoutcome_txt|nreleased|addnotes|scite1|scite2|scite3|dbsource|int_log|int_ideo|int_misc|int_any
1970-01-01|197001010002|1970|1|1||0||217|United States|1|North America|Illinois (U.S. State)|Cairo|37.005105|-89.176269|1|0||1/1/1970: Unknown African American assailants fired several bullets at police headquarters in Cairo, Illinois, United States.  There were no casualties, however, one bullet narrowly missed several police officers.  This attack took place during heightened racial tensions, including a Black boycott of White-owned businesses, in Cairo Illinois.|1|1|1|0||.|0|1|0|2|Armed Assault||.||.|3|Police|22|Police Buildings (Headquarters/Stations/School)|Cairo Police Department|Cairo Police Headquarters|217|United States||.||.||||.||.||.||||.|Black Nationalists||||||To protest the Cairo Illinois Police Deparment|0|||-99|-99|0||.|||.|||.||5|Firearms|5|Unknown Gun Type||.||.||.||.||.||.|Several gunshots were fired.|0|0|0|0|0|0|1|3|Minor (likely < $1 million)|||0|||||||0|||||||.||The Cairo Chief of Police, William Petersen, resigned as a result of the attack.|Police Chief Quits, Washington Post, January 2, 1970.|Cairo Police Chief Quits; Decries Local 'Militants', Afro-American, January 10, 1970.|Christopher Hewitt, Political Violence and Terrorism in Modern America: A Chronology, Praeger Security International, 2005.|Hewitt Project|-9|-9|0|-9
1970-01-01|197001050001|1970|1|1||0||217|United States|1|North America|Wisconsin (U.S. State)|Baraboo|43.468500|-89.744299|1|0|||1|1|0|0||.|0|0|0|3|Bombing/Explosion||.||.|4|Military|27|Military Barracks/Base/Headquarters/Check Post||Badger Army ammo depot.|217|United States||.||.||||.||.||.||||.|Weather Underground, Weathermen|||||||0|||||||.|||.|||.||6|Explosives/Bombs/Dynamite|16|Unknown Explosive Type||.||.||.||.||.||.|Explosive|0|||0|||0|3|Minor (likely < $1 million)|0||0|||||||0|||||||.||||||PGIS|0|0|0|0
1970-01-02|197001020001|1970|1|2||0||218|Uruguay|3|South America||Montevideo||||0|||1|1|1|-9||.|0|0|0|1|Assassination||.||.|3|Police|25|Police Security Forces/Officers|Uruguayan Police|Juan Maria de Lucah/Chief of Directorate of info. and intell.|218|Uruguay||.||.||||.||.||.||||.|Tupamaros (Uruguay)|||||||0|||3||||.|||.|||.||5|Firearms|2|Automatic Weapon||.||.||.||.||.||.|Automatic firearm|0|||0|||0||.|||0|||||||0|||||||.||||||PGIS|0|0|0|0
1970-01-02|197001020002|1970|1|2||0||217|United States|1|North America|California (U.S. State)|Oakland|37.805065|-122.273024|1|0|Edes Substation|1/2/1970: Unknown perpetrators detonated explosives at the Pacific Gas & Electric Company Edes substation in Oakland, California, United States.  Three transformers were damaged costing an estimated $20,000 to $25,000.  There were no casualties.|1|1|1|1|2|Other Crime Type|0|1|0|3|Bombing/Explosion||.||.|21|Utilities|107|Electricity|Pacific Gas & Electric Company|Edes Substation|217|United States||.||.||||.||.||.||||.|Unknown|||||||0|||-99|-99|0||.|||.|||.||6|Explosives/Bombs/Dynamite|16|Unknown Explosive Type||.||.||.||.||.||.||0|0|0|0|0|0|1|3|Minor (likely < $1 million)|22500|Three transformers were damaged.|0|||||||0|||||||.||Damages were estimated to be between $20,000-$25,000.|Committee on Government Operations United States Senate, Riots, Civil, and Criminal Disorders, U.S. Government Printing Office, August 6, 1970.|Christopher Hewitt, Political Violence and Terrorism in Modern America: A Chronology, Praeger Security International, 2005.||Hewitt Project|-9|-9|0|-9
1970-01-02|197001020003|1970|1|2||0||217|United States|1|North America|Wisconsin (U.S. State)|Madison|43.072950|-89.386694|1|0|University of Wisconsin, Madison|1/2/1970: Karl Armstrong, a member of the New Years Gang, threw a firebomb at R.O.T.C. offices located within the Old Red Gym at the University of Wisconsin in Madison, Wisconsin, United States.  There were no casualties but the fire caused around $60,000 in damages to the building.|1|1|1|0||.|0|1|0|7|Facility/Infrastructure Attack||.||.|4|Military|28|Military Recruiting Station/Academy|R.O.T.C.|R.O.T.C. offices at University of Wisconsin, Madison|217|United States||.||.||||.||.||.||||.|New Year's Gang||||||To protest the War in Vietnam and the draft|0|||1|1|1|1|Letter|||.|||.||8|Incendiary|20|Gasoline or Alcohol||.||.||.||.||.||.|Firebomb consisting of gasoline|0|0|0|0|0|0|1|3|Minor (likely < $1 million)|60000|Basketball courts, weight room, swimming pool, gymnastic equipment, and lockers were destroyed.|0|||||||0|||||||.||The New Years Gang issue a communiqué to a local paper claiming that they perpetrated this attack.  The New Years Gang  previously attempted to firebomb the R.O.T.C. building a week earlier.  As a result of the attack, police increased their presence in Madison.  Karl Armstrong's girlfriend, Lynn Schultz, drove him to and from the Old Red Gym.  The next day Armstrong would attempt to set a fire in the Selective Service offices in Madison. (197001030001)  Karl Armstrong would be captured after participating in the deadly bombing of Sterling Hall at the University of Wisconsin on August 24, 1970.  (197008240001)|Tom Bates, Rads: The 1970 Bombing of the Army Math Research Center at the University of Wisconsin and Its Aftermath, HarperCollinsPublishing, 1992.|David Newman, Sandra Sutherland, and Jon Stewart, The Madison Bomb Story: The Death the FBI Saw, Heard and Won't Talk About, Mother Jones, February-March, 1979.|The Wisconsin Cartographers' Guild, Wisconsin's Past and Present: A Historical Atlas, The University of Wisconsin Press, 2002.|Hewitt Project|0|0|0|0
1970-01-03|197001030001|1970|1|3||0||217|United States|1|North America|Wisconsin (U.S. State)|Madison|43.072950|-89.386694|1|0||1/3/1970: Karl Armstrong, a member of the New Years Gang, broke into the University of Wisconsin's Primate Lab and set a fire on the first floor of the building.  Armstrong intended to set fire to the Madison, Wisconsin, United States, Selective Service Headquarters across the street but mistakenly confused the building with the Primate Lab.  The fire caused slight damages and was extinguished almost immediately.|1|1|1|0||.|0|1|0|7|Facility/Infrastructure Attack||.||.|2|Government (General)|21|Government Buildings/Facilities/Offices|Selective Service|Selective Service Headquarters in Madison Wisconsin|217|United States||.||.||||.||.||.||||.|New Year's Gang||||||To protest the War in Vietnam and the draft|0|||1|1|0||.|||.|||.||8|Incendiary|20|Gasoline or Alcohol||.||.||.||.||.||.|Poured gasoline on the floor and lit it with a match|0|0|0|0|0|0|1|3|Minor (likely < $1 million)||Slight damage|0|||||||0|||||||.||Karl Armstrong's girlfriend, Lynn Schultz, drove him to and from the Primate Lab.  A day earlier Armstrong would firebomb the R.O.T.C. offices at the University of Wisconsin. (197001020003)  Karl Armstrong would be captured after participating in the deadly bombing of Sterling Hall at the University of Wisconsin on August 24, 1970. (197008240001)|Committee on Government Operations United States Senate, Riots, Civil, and Criminal Disorders, U.S. Government Printing Office, August 6, 1970.|Tom Bates, Rads: The 1970 Bombing of the Army Math Research Center at the University of Wisconsin and Its Aftermath, HarperCollinsPublishing, 1992.|David Newman, Sandra Sutherland, and Jon Stewart, The Madison Bomb Story: The Death the FBI Saw, Heard and Won't Talk About, Mother Jones, February-March, 1979.|Hewitt Project|0|0|0|0
1970-01-06|197001060001|1970|1|6||0||217|United States|1|North America|Colorado (U.S. State)|Denver|39.740010|-104.992259|1|0||1/6/1970: Unknown perpetrators threw a Molotov cocktail into an Army Recruiting Station in Denver, Colorado, United States.  There were no casualties but damages to the station were estimated at $305.|1|1|1|1|2|Other Crime Type|0|1|0|7|Facility/Infrastructure Attack||.||.|4|Military|28|Military Recruiting Station/Academy|Army Recruiting Station|Army Recruiting Station, Denver Colorado|217|United States||.||.||||.||.||.||||.|Left-Wing Militants||||||Protest the draft and Vietnam War|0|||-99|-99|0||.|||.|||.||8|Incendiary|20|Gasoline or Alcohol||.||.||.||.||.||.|Molotov cocktail|0|0|0|0|0|0|1|3|Minor (likely < $1 million)|305||0|||||||0|||||||.|||Committee on Government Operations United States Senate, Riots, Civil, and Criminal Disorders, U.S. Government Printing Office, August 6, 1970.|Christopher Hewitt, Political Violence and Terrorism in Modern America: A Chronology, Praeger Security International, 2005.||Hewitt Project|-9|-9|0|-9
1970-01-08|197001080001|1970|1|8||0||98|Italy|8|Western Europe||Rome|41.890520|12.494249|1|0|||1|1|1|-9||.|0|1|0|4|Hijacking||.||.|6|Airports & Aircraft|42|Aircraft (not at an airport)|Trans World Airline|Flight 802 Boeing 707|217|United States||.||.||||.||.||.||||.|Unknown|||||||0|||1||||.|||.|||.||5|Firearms|4|Rifle/Shotgun (non-automatic)|5|Firearms|3|Handgun|13|Unknown||.|13|Unknown||.|Rifle - carbine; Pistols|0|0|0|0|0|0|0||.|||0|||||Beirut|Beirut|0||||||2|Hostage(s) released by perpetrators||||||Hijacking DB|-9|-9|1|1
1970-01-09|197001090001|1970|1|9||0||217|United States|1|North America|Michigan (U.S. State)|Detroit|42.331685|-83.047924|1|0||1/9/1970: Unknown perpetrators set off a firebomb at the Packard Properties building in Detroit, Michigan, United States.  The facility housed federal employees.  The building was damaged but there were no casualties.|1|1|1|0||.|0|1|0|7|Facility/Infrastructure Attack||.||.|2|Government (General)|21|Government Buildings/Facilities/Offices|U.S. Government housing|Packard Properties building of Detroit Michigan|217|United States||.||.||||.||.||.||||.|Left-Wing Militants|||||||0|||-99|-99|0||.|||.|||.||8|Incendiary|20|Gasoline or Alcohol||.||.||.||.||.||.|Firebomb|0|0|0|0|0|0|1|3|Minor (likely < $1 million)||Building was damaged|0|||||||0|||||||.|||Committee on Government Operations United States Senate, Riots, Civil, and Criminal Disorders, U.S. Government Printing Office, August 6, 1970.|Christopher Hewitt, Political Violence and Terrorism in Modern America: A Chronology, Praeger Security International, 2005.||Hewitt Project|-9|-9|0|-9
1970-01-09|197001090002|1970|1|9||0||163|Puerto Rico|2|Central America & Caribbean||Rio Piedras|18.396770|-66.046608|1|0|Caparra Shopping Center|1/9/1970:  The Armed Commandos of Liberation claimed credit for setting a fire at the Baker's Store in Rio Piedras, Puerto Rico.  There were no casualties but the store was destroyed at a cost of $2,000,000.|1|1|1|1|2|Other Crime Type|0|1|0|7|Facility/Infrastructure Attack||.||.|1|Business|7|Retail/Grocery/Bakery|American owned business in Puerto Rico|Baker's Store|217|United States||.||.||||.||.||.||||.|Armed Commandos of Liberation||||||To protest United States owned businesses in Puerto Rico|1|||-99|-99|1|10|Unknown|||.|||.||8|Incendiary|18|Arson/Fire||.||.||.||.||.||.|Fire set in back of store|0|0|0|0|0|0|1|2|Major (likely > $1 million but < $1 billion)|2000000|Store destroyed|0|||||||0|||||||.||The fire began at 8:30 PM. The Armed Commandos of Liberation claimed the incident but authorities did not discover any evidence proving that the fire was set intentionally.|Committee on the Judiciary  United States Senate, Terroristic Activity: The Cuban Connection in Puerto Rico; Castro's Hand in Puerto Rican and U.S. Terrorism, U.S. Government Printing Office, August 6, 1970.|No Evidence Of Arson Found In Barkers Fire, The Virgin Islands Daily News, January 13, 1970.|Toward People's War for Independence and Socialism in Puerto Rico: In Defense of Armed Struggle, Documents and Communiqués from the Revolutionary Public Independence Movement and the Armed Clandestine Movement, January 1987.|Hewitt Project|0|0|0|0
